name,n_tuples,n_attributes,p_num_var,p_cat_var,p_duplicates,total_size,p_avg_distinct,p_max_distinct,p_min_distinct,avg_density,max_density,min_density,avg_entropy,max_entropy,min_entropy,p_correlated_features,max_pearson,min_pearson,ML_ALGORITHM,ERROR_TYPE,BEST_METHOD
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,DECISION_TREES,uniform,KNN
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,DECISION_TREES,column-based,MICE
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,DECISION_TREES,row-based,STANDARD
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,KNN,uniform,MICE
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,KNN,column-based,MICE
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,KNN,row-based,DROP_ROWS
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,NAIVE_BAYES,uniform,KNN
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,NAIVE_BAYES,column-based,MICE
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,NAIVE_BAYES,row-based,DROP_ROWS
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,LOGISTIC_REGR,uniform,MICE
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,LOGISTIC_REGR,column-based,MICE
iris,150,5,1.0,0.0,0.02,6128,0.168,0.2867,0.02,0.0351,0.0644,0.0,2.7058,3.4892,1.0986,0.8,0.9628,-0.4205,LOGISTIC_REGR,row-based,DROP_ROWS
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,DECISION_TREES,uniform,KNN
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,DECISION_TREES,column-based,MF
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,DECISION_TREES,row-based,KNN
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,KNN,uniform,KNN
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,KNN,column-based,KNN
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,KNN,row-based,DROP_ROWS
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,NAIVE_BAYES,uniform,KNN
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,NAIVE_BAYES,column-based,KNN
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,NAIVE_BAYES,row-based,KNN
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,LOGISTIC_REGR,uniform,KNN
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,LOGISTIC_REGR,column-based,KNN
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,LOGISTIC_REGR,row-based,DROP_ROWS
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,DECISION_TREES,uniform,KNN
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,DECISION_TREES,column-based,DROP_COLS
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,DECISION_TREES,row-based,DROP_ROWS
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,KNN,uniform,KNN
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,KNN,column-based,KNN
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,KNN,row-based,DROP_ROWS
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,NAIVE_BAYES,uniform,KNN
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,NAIVE_BAYES,column-based,KNN
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,NAIVE_BAYES,row-based,KNN
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,LOGISTIC_REGR,uniform,KNN
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,LOGISTIC_REGR,column-based,KNN
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,LOGISTIC_REGR,row-based,MICE
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,DECISION_TREES,uniform,KN
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,DECISION_TREES,column-based,KNN
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,DECISION_TREES,row-based,DROP_ROWS
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,KNN,uniform,KNN
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,KNN,column-based,KNN
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,KNN,row-based,DROP_ROWS
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,NAIVE_BAYES,uniform,KNN
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,NAIVE_BAYES,column-based,KNN
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,NAIVE_BAYES,row-based,DROP_ROWS
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,LOGISTIC_REGR,uniform,KNN
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,LOGISTIC_REGR,column-based,KNN
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,LOGISTIC_REGR,row-based,MICE
soybean,249,36,0.0,1.0,0.012,71840,0.0125,0.0602,0.008,16.1119,36.8976,0.2139,0.7101,2.551,0.0467,nan,nan,nan,DECISION_TREES,uniform,KNN
soybean,249,36,0.0,1.0,0.012,71840,0.0125,0.0602,0.008,16.1119,36.8976,0.2139,0.7101,2.551,0.0467,nan,nan,nan,DECISION_TREES,column-based,DROP_COLS
soybean,249,36,0.0,1.0,0.012,71840,0.0125,0.0602,0.008,16.1119,36.8976,0.2139,0.7101,2.551,0.0467,nan,nan,nan,DECISION_TREES,row-based,KNN
soybean,249,36,0.0,1.0,0.012,71840,0.0125,0.0602,0.008,16.1119,36.8976,0.2139,0.7101,2.551,0.0467,nan,nan,nan,KNN,uniform,KNN
soybean,249,36,0.0,1.0,0.012,71840,0.0125,0.0602,0.008,16.1119,36.8976,0.2139,0.7101,2.551,0.0467,nan,nan,nan,KNN,column-based,DROP_COL
soybean,249,36,0.0,1.0,0.012,71840,0.0125,0.0602,0.008,16.1119,36.8976,0.2139,0.7101,2.551,0.0467,nan,nan,nan,KNN,row-based,MODE
soybean,249,36,0.0,1.0,0.012,71840,0.0125,0.0602,0.008,16.1119,36.8976,0.2139,0.7101,2.551,0.0467,nan,nan,nan,NAIVE_BAYES,uniform,KNN
soybean,249,36,0.0,1.0,0.012,71840,0.0125,0.0602,0.008,16.1119,36.8976,0.2139,0.7101,2.551,0.0467,nan,nan,nan,NAIVE_BAYES,column-based,NOP
soybean,249,36,0.0,1.0,0.012,71840,0.0125,0.0602,0.008,16.1119,36.8976,0.2139,0.7101,2.551,0.0467,nan,nan,nan,NAIVE_BAYES,row-based,KNN
soybean,249,36,0.0,1.0,0.012,71840,0.0125,0.0602,0.008,16.1119,36.8976,0.2139,0.7101,2.551,0.0467,nan,nan,nan,LOGISTIC_REGR,uniform,KNN
soybean,249,36,0.0,1.0,0.012,71840,0.0125,0.0602,0.008,16.1119,36.8976,0.2139,0.7101,2.551,0.0467,nan,nan,nan,LOGISTIC_REGR,column-based,MODE
soybean,249,36,0.0,1.0,0.012,71840,0.0125,0.0602,0.008,16.1119,36.8976,0.2139,0.7101,2.551,0.0467,nan,nan,nan,LOGISTIC_REGR,row-based,DROP_ROWS
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,DECISION_TREES,uniform,KNN
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,DECISION_TREES,column-based,KNN
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,DECISION_TREES,row-based,DROP_ROWS
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,KNN,uniform,KNN
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,KNN,column-based,DROP_COLS
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,KNN,row-based,KNN
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,NAIVE_BAYES,uniform,MF
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,NAIVE_BAYES,column-based,MF
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,NAIVE_BAYES,row-based,KNN
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,LOGISTIC_REGR,uniform,NO
