iris,dt,[{'no_impute': 0.7876394148947367, 'impute_standard': 0.8008804187972666, 'impute_mean': 0.7851953387081063, 'impute_std': 0.7902844066811805, 'impute_mode': 0.7812772671325451, 'impute_median': 0.7904901215875093, 'impute_knn': 0.7600456187338309, 'impute_mice': 0.7890286061557732, 'impute_soft': 0.774779579493046, 'impute_random': 0.5731498166958626, 'impute_linear_and_logistic': 0.7310790904214106}, {'no_impute': 0.8297938460171901, 'impute_standard': 0.8401705012673657, 'impute_mean': 0.8250536072745546, 'impute_std': 0.8359872002943157, 'impute_mode': 0.8138318959156324, 'impute_median': 0.8335527384173357, 'impute_knn': 0.7991223145156663, 'impute_mice': 0.8394595466121102, 'impute_soft': 0.8271765990044546, 'impute_random': 0.6345706305271931, 'impute_linear_and_logistic': 0.7885482442178939}, {'no_impute': 0.8441833205898409, 'impute_standard': 0.8631665933264565, 'impute_mean': 0.853958135083075, 'impute_std': 0.8666561582453752, 'impute_mode': 0.8643104929514686, 'impute_median': 0.8519123130066181, 'impute_knn': 0.8596297955875872, 'impute_mice': 0.8804238232409126, 'impute_soft': 0.8796400362892237, 'impute_random': 0.7748242046661532, 'impute_linear_and_logistic': 0.869799248559293}, {'no_impute': 0.8983900228452553, 'impute_standard': 0.889824714412976, 'impute_mean': 0.8871359433578884, 'impute_std': 0.9017919298214816, 'impute_mode': 0.8836168578049607, 'impute_median': 0.8907996576021563, 'impute_knn': 0.898467234076209, 'impute_mice': 0.9138252715840081, 'impute_soft': 0.9148280974739829, 'impute_random': 0.8166731203049709, 'impute_linear_and_logistic': 0.9091215787079744}, {'no_impute': 0.9415912251646714, 'impute_standard': 0.9271977746746453, 'impute_mean': 0.9314806924833713, 'impute_std': 0.9273144869694092, 'impute_mode': 0.9317160826430967, 'impute_median': 0.9389301568925092, 'impute_knn': 0.9449913551184995, 'impute_mice': 0.9405916395907552, 'impute_soft': 0.9451707353002163, 'impute_random': 0.8877846534163862, 'impute_linear_and_logistic': 0.9383784000027999}]
iris,lr,[{'no_impute': 0.816194033492973, 'impute_standard': 0.5555287350465483, 'impute_mean': 0.8186948409984018, 'impute_std': 0.6294286842739041, 'impute_mode': 0.6705516280572635, 'impute_median': 0.8424310508940147, 'impute_knn': 0.8152336163939571, 'impute_mice': 0.8431037654681932, 'impute_soft': 0.6687248425298125, 'impute_random': 0.6039905609340478, 'impute_linear_and_logistic': 0.8096020714756111}, {'no_impute': 0.8138680342453323, 'impute_standard': 0.5603946459988778, 'impute_mean': 0.8148751780567423, 'impute_std': 0.6686641383274776, 'impute_mode': 0.6992138214342805, 'impute_median': 0.8379213319010895, 'impute_knn': 0.8342869735612406, 'impute_mice': 0.8643130186268653, 'impute_soft': 0.740184522092121, 'impute_random': 0.630088510640366, 'impute_linear_and_logistic': 0.8185588787721718}, {'no_impute': 0.8472017101325722, 'impute_standard': 0.6035971966267621, 'impute_mean': 0.8507216301630751, 'impute_std': 0.7249017685893577, 'impute_mode': 0.7330337091268729, 'impute_median': 0.870951005895626, 'impute_knn': 0.894669512479961, 'impute_mice': 0.8983552980344218, 'impute_soft': 0.8317172351168127, 'impute_random': 0.71377072813374, 'impute_linear_and_logistic': 0.8794459650267504}, {'no_impute': 0.886788492720427, 'impute_standard': 0.6984906514427771, 'impute_mean': 0.891512073955922, 'impute_std': 0.8070052703051581, 'impute_mode': 0.7584328941646076, 'impute_median': 0.9181450679906651, 'impute_knn': 0.9108281800835347, 'impute_mice': 0.931212410129242, 'impute_soft': 0.9108585423855929, 'impute_random': 0.8338352287236426, 'impute_linear_and_logistic': 0.9124852407646665}, {'no_impute': 0.912196789617382, 'impute_standard': 0.7952780277054016, 'impute_mean': 0.9112803970343227, 'impute_std': 0.8715850466142426, 'impute_mode': 0.8484167152074431, 'impute_median': 0.9268072776584084, 'impute_knn': 0.9426091496581349, 'impute_mice': 0.9443727711978745, 'impute_soft': 0.9471474090699585, 'impute_random': 0.8930913920504848, 'impute_linear_and_logistic': 0.9379843290577188}]
iris,knn,[{'no_impute': 0.7774959287160164, 'impute_standard': 0.6489732904720426, 'impute_mean': 0.7777412066972775, 'impute_std': 0.7056327442373281, 'impute_mode': 0.718848147795219, 'impute_median': 0.7703058699646641, 'impute_knn': 0.7918336391058695, 'impute_mice': 0.8118804075761494, 'impute_soft': 0.7829772206534507, 'impute_random': 0.6373431789104124, 'impute_linear_and_logistic': 0.7806405785724998}, {'no_impute': 0.8245588316170914, 'impute_standard': 0.6579316650986022, 'impute_mean': 0.8211058334013078, 'impute_std': 0.7386337866233474, 'impute_mode': 0.7716988506751201, 'impute_median': 0.812084923192707, 'impute_knn': 0.8316593760298628, 'impute_mice': 0.8651723093391264, 'impute_soft': 0.8109495728364993, 'impute_random': 0.6976119561872594, 'impute_linear_and_logistic': 0.840418387671529}, {'no_impute': 0.8783710935589624, 'impute_standard': 0.7105910815387447, 'impute_mean': 0.8830750755423404, 'impute_std': 0.7692354864432536, 'impute_mode': 0.8330017278004841, 'impute_median': 0.8685202138983532, 'impute_knn': 0.907317991688586, 'impute_mice': 0.9075998778581583, 'impute_soft': 0.8933843621819615, 'impute_random': 0.7979140524890158, 'impute_linear_and_logistic': 0.881020986789907}, {'no_impute': 0.9236203661226998, 'impute_standard': 0.7959903354747954, 'impute_mean': 0.9245879141304776, 'impute_std': 0.8505140951989788, 'impute_mode': 0.8859718028347084, 'impute_median': 0.9225749605182393, 'impute_knn': 0.9238052731876787, 'impute_mice': 0.9334479760513227, 'impute_soft': 0.950563220293784, 'impute_random': 0.8617682621697643, 'impute_linear_and_logistic': 0.9252579506576313}, {'no_impute': 0.9305656329105635, 'impute_standard': 0.8419887090956409, 'impute_mean': 0.9305656329105635, 'impute_std': 0.8759576256756478, 'impute_mode': 0.9097650921196416, 'impute_median': 0.9429524872582715, 'impute_knn': 0.9535762746283561, 'impute_mice': 0.9508387933734416, 'impute_soft': 0.9479367042456103, 'impute_random': 0.9191596555862641, 'impute_linear_and_logistic': 0.954479875823395}]
iris,nb,[{'no_impute': 0.7754190232630576, 'impute_standard': 0.60949973575029, 'impute_mean': 0.7754190232630576, 'impute_std': 0.6768192800494978, 'impute_mode': 0.6945005981253268, 'impute_median': 0.7672593167122898, 'impute_knn': 0.8032276292452769, 'impute_mice': 0.8402958608842983, 'impute_soft': 0.7026613920649801, 'impute_random': 0.628016814072423, 'impute_linear_and_logistic': 0.7938779262555209}, {'no_impute': 0.8252177319980929, 'impute_standard': 0.6796514324080347, 'impute_mean': 0.8252177319980929, 'impute_std': 0.7371351728703779, 'impute_mode': 0.7341110754486566, 'impute_median': 0.8385103563621353, 'impute_knn': 0.8457000876046848, 'impute_mice': 0.8770492068500875, 'impute_soft': 0.7587752776635188, 'impute_random': 0.7004032903853397, 'impute_linear_and_logistic': 0.8257340838149866}, {'no_impute': 0.8684568280157322, 'impute_standard': 0.7275602547580414, 'impute_mean': 0.8684568280157322, 'impute_std': 0.8013786393939295, 'impute_mode': 0.7958403420523835, 'impute_median': 0.8664940483695348, 'impute_knn': 0.8749503641675035, 'impute_mice': 0.9130068492626615, 'impute_soft': 0.8711517989962725, 'impute_random': 0.7387512773155033, 'impute_linear_and_logistic': 0.8858414171078529}, {'no_impute': 0.8918462938429995, 'impute_standard': 0.7941257512801272, 'impute_mean': 0.8918462938429995, 'impute_std': 0.8555202532327569, 'impute_mode': 0.8337499535021611, 'impute_median': 0.8942509845074925, 'impute_knn': 0.8990148773986184, 'impute_mice': 0.917479478576101, 'impute_soft': 0.8999994434238622, 'impute_random': 0.8311547736646252, 'impute_linear_and_logistic': 0.9016381459166729}, {'no_impute': 0.9206457540008072, 'impute_standard': 0.840574466463928, 'impute_mean': 0.9206457540008072, 'impute_std': 0.883835979519162, 'impute_mode': 0.8947013837694759, 'impute_median': 0.9241513326440376, 'impute_knn': 0.9406036990142554, 'impute_mice': 0.9443879565711573, 'impute_soft': 0.9350462863857157, 'impute_random': 0.8858952127816712, 'impute_linear_and_logistic': 0.9352441019315658}]
cancer,dt,[{'no_impute': 0.9128007886703143, 'impute_standard': 0.9024463206579132, 'impute_mean': 0.9124619464867203, 'impute_std': 0.9097328336118068, 'impute_mode': 0.909249826906962, 'impute_median': 0.911015032120618, 'impute_knn': 0.9047928016068032, 'impute_mice': 0.923448034607729, 'impute_soft': 0.9201424278442265, 'impute_random': 0.7965140337094669, 'impute_linear_and_logistic': 0.8864565128335543}, {'no_impute': 0.9186051900038509, 'impute_standard': 0.9122603155299007, 'impute_mean': 0.9151358121831723, 'impute_std': 0.9168533184185487, 'impute_mode': 0.9164886540643763, 'impute_median': 0.9183204248286091, 'impute_knn': 0.9100820849027977, 'impute_mice': 0.9211600230842849, 'impute_soft': 0.9230917344427609, 'impute_random': 0.8560436215852385, 'impute_linear_and_logistic': 0.9098124794520375}, {'no_impute': 0.9220551226361202, 'impute_standard': 0.9244055931975917, 'impute_mean': 0.9232560401952278, 'impute_std': 0.9238987447474648, 'impute_mode': 0.9234653080757109, 'impute_median': 0.9278540153710491, 'impute_knn': 0.9361893872733892, 'impute_mice': 0.9296273595903538, 'impute_soft': 0.9366500002810634, 'impute_random': 0.8834815970760974, 'impute_linear_and_logistic': 0.9256601341085436}, {'no_impute': 0.930406137065117, 'impute_standard': 0.93310978107728, 'impute_mean': 0.9328019386807517, 'impute_std': 0.9308878809807928, 'impute_mode': 0.9339584567683412, 'impute_median': 0.935938154721033, 'impute_knn': 0.9421718961421058, 'impute_mice': 0.9385161301536926, 'impute_soft': 0.940146914573148, 'impute_random': 0.9042687172968308, 'impute_linear_and_logistic': 0.9364363305645528}, {'no_impute': 0.9383147268986778, 'impute_standard': 0.9376295422214777, 'impute_mean': 0.9353746778378782, 'impute_std': 0.9393516919220072, 'impute_mode': 0.9396636461817484, 'impute_median': 0.939193717579512, 'impute_knn': 0.946517869103923, 'impute_mice': 0.9418042624325172, 'impute_soft': 0.9428764342277094, 'impute_random': 0.9306190805926139, 'impute_linear_and_logistic': 0.9455358017786271}]
cancer,lr,[{'no_impute': 0.9455600714605507, 'impute_standard': 0.9118180278402844, 'impute_mean': 0.9458095541243002, 'impute_std': 0.944385940480254, 'impute_mode': 0.9334299452120384, 'impute_median': 0.937979806408165, 'impute_knn': 0.9405635810938979, 'impute_mice': 0.9433707106722563, 'impute_soft': 0.94417988670017, 'impute_random': 0.8631890178196672, 'impute_linear_and_logistic': 0.9390073766683747}, {'no_impute': 0.9525441614025556, 'impute_standard': 0.9255093416834327, 'impute_mean': 0.9531917182931617, 'impute_std': 0.9506752854404202, 'impute_mode': 0.9397917699114403, 'impute_median': 0.9455255698593826, 'impute_knn': 0.9505800516290115, 'impute_mice': 0.9501387466162511, 'impute_soft': 0.9496763102619945, 'impute_random': 0.8995808151374987, 'impute_linear_and_logistic': 0.9499327073391313}, {'no_impute': 0.958729224192538, 'impute_standard': 0.9437571397094224, 'impute_mean': 0.9589464641742427, 'impute_std': 0.959786242081482, 'impute_mode': 0.9513527615567301, 'impute_median': 0.9564403723562018, 'impute_knn': 0.958898316902763, 'impute_mice': 0.9575154188742934, 'impute_soft': 0.9601879776243876, 'impute_random': 0.9272440883561508, 'impute_linear_and_logistic': 0.9575243270375794}, {'no_impute': 0.9609835263266144, 'impute_standard': 0.9514929624552703, 'impute_mean': 0.960790533403493, 'impute_std': 0.9605555130358527, 'impute_mode': 0.9539756203715218, 'impute_median': 0.9572833885199423, 'impute_knn': 0.9593644319442776, 'impute_mice': 0.961796050558756, 'impute_soft': 0.9605809547354016, 'impute_random': 0.9464845487434059, 'impute_linear_and_logistic': 0.9603593199406057}, {'no_impute': 0.9676189130904891, 'impute_standard': 0.9613909174868943, 'impute_mean': 0.9672075825882114, 'impute_std': 0.9659619701322453, 'impute_mode': 0.9614395413764583, 'impute_median': 0.9638955675860932, 'impute_knn': 0.9675838251440678, 'impute_mice': 0.968009871093324, 'impute_soft': 0.967600247174296, 'impute_random': 0.9616036476121638, 'impute_linear_and_logistic': 0.9670027397754171}]
cancer,knn,[{'no_impute': 0.9387558185904967, 'impute_standard': 0.9036441502593697, 'impute_mean': 0.9393611016304988, 'impute_std': 0.9392554128548434, 'impute_mode': 0.9206921922455082, 'impute_median': 0.9271487744584461, 'impute_knn': 0.9386757134862739, 'impute_mice': 0.948231834330449, 'impute_soft': 0.9461798129727444, 'impute_random': 0.8396780981813645, 'impute_linear_and_logistic': 0.9389925656808147}, {'no_impute': 0.9443640585711317, 'impute_standard': 0.9141220792159777, 'impute_mean': 0.9447468572644558, 'impute_std': 0.942468021696986, 'impute_mode': 0.9330987622875592, 'impute_median': 0.9361228835670303, 'impute_knn': 0.9479810422377075, 'impute_mice': 0.9480228265193399, 'impute_soft': 0.9507336739702801, 'impute_random': 0.8723888016155972, 'impute_linear_and_logistic': 0.9470419296430495}, {'no_impute': 0.9566489675007271, 'impute_standard': 0.9292997485963821, 'impute_mean': 0.95644355063986, 'impute_std': 0.9563759080129837, 'impute_mode': 0.9436516486595966, 'impute_median': 0.9478736481256852, 'impute_knn': 0.9585810738341872, 'impute_mice': 0.95994852928438, 'impute_soft': 0.9605271907928885, 'impute_random': 0.9135273680306654, 'impute_linear_and_logistic': 0.9588630740624728}, {'no_impute': 0.9619067968730439, 'impute_standard': 0.9453198536605221, 'impute_mean': 0.9617005287939354, 'impute_std': 0.9621042566599829, 'impute_mode': 0.9540005294156839, 'impute_median': 0.9546561488797113, 'impute_knn': 0.9666082821864438, 'impute_mice': 0.9653981153856771, 'impute_soft': 0.9656120748115357, 'impute_random': 0.938055841906101, 'impute_linear_and_logistic': 0.9645643434412999}, {'no_impute': 0.9669791248512598, 'impute_standard': 0.9584829482606266, 'impute_mean': 0.9669791248512598, 'impute_std': 0.9663734099963359, 'impute_mode': 0.9618133178382446, 'impute_median': 0.9638717240960293, 'impute_knn': 0.9670238142057176, 'impute_mice': 0.9682223682146379, 'impute_soft': 0.9659895383859476, 'impute_random': 0.9599521930404523, 'impute_linear_and_logistic': 0.9662125864884626}]
cancer,nb,[{'no_impute': 0.9319263054915911, 'impute_standard': 0.9402756403759228, 'impute_mean': 0.9319263054915911, 'impute_std': 0.9356666491638386, 'impute_mode': 0.9400052893599693, 'impute_median': 0.9413823234397805, 'impute_knn': 0.9507288124385493, 'impute_mice': 0.9472880226965377, 'impute_soft': 0.9458201343400736, 'impute_random': 0.8318190415768385, 'impute_linear_and_logistic': 0.9414350625011517}, {'no_impute': 0.9421513056074302, 'impute_standard': 0.9466733316009908, 'impute_mean': 0.9421513056074302, 'impute_std': 0.9462628929562076, 'impute_mode': 0.9463216507824188, 'impute_median': 0.9470721476534181, 'impute_knn': 0.9546015020578242, 'impute_mice': 0.9506089991323471, 'impute_soft': 0.9539571108603535, 'impute_random': 0.8589611772723729, 'impute_linear_and_logistic': 0.9506337278668134}, {'no_impute': 0.9510583087471783, 'impute_standard': 0.9571708535900039, 'impute_mean': 0.9510583087471783, 'impute_std': 0.9502198740065314, 'impute_mode': 0.9557957563243912, 'impute_median': 0.9559756507587561, 'impute_knn': 0.9585586483082132, 'impute_mice': 0.9555689099118594, 'impute_soft': 0.9607883208849974, 'impute_random': 0.8925541064103752, 'impute_linear_and_logistic': 0.9552968296960141}, {'no_impute': 0.9562528653988331, 'impute_standard': 0.957230770874421, 'impute_mean': 0.9562528653988331, 'impute_std': 0.9557214872599613, 'impute_mode': 0.9556239587071403, 'impute_median': 0.9562109061074267, 'impute_knn': 0.9601969986630695, 'impute_mice': 0.9593807843870703, 'impute_soft': 0.9591888407963705, 'impute_random': 0.9245950958740075, 'impute_linear_and_logistic': 0.9597734199358373}, {'no_impute': 0.9581637615255425, 'impute_standard': 0.9614788243991153, 'impute_mean': 0.9581637615255425, 'impute_std': 0.9591906213526673, 'impute_mode': 0.9624879925933516, 'impute_median': 0.9624780153578008, 'impute_knn': 0.964077341609193, 'impute_mice': 0.9630662198082349, 'impute_soft': 0.9632601975750243, 'impute_random': 0.9334364175845086, 'impute_linear_and_logistic': 0.9620525010816422}]
wine,dt,[{'no_impute': 0.46264981947313355, 'impute_standard': 0.4440735639244284, 'impute_mean': 0.46947029225555803, 'impute_std': 0.4421049734071443, 'impute_mode': 0.449909751605787, 'impute_median': 0.46236752160716144, 'impute_knn': 0.4396063410877602, 'impute_mice': 0.4549445038758381, 'impute_soft': 0.4395858839935656, 'impute_random': 0.4125029485062932, 'impute_linear_and_logistic': 0.446324856874359}, {'no_impute': 0.4766428964404045, 'impute_standard': 0.45524399820990397, 'impute_mean': 0.47357222794363374, 'impute_std': 0.4548432966712952, 'impute_mode': 0.4755997364037029, 'impute_median': 0.47501174598083185, 'impute_knn': 0.4734403627944186, 'impute_mice': 0.4719236911122156, 'impute_soft': 0.4569160569510007, 'impute_random': 0.43913935702505236, 'impute_linear_and_logistic': 0.4573134785182115}, {'no_impute': 0.4966780695702664, 'impute_standard': 0.48221182625287473, 'impute_mean': 0.49828600126994815, 'impute_std': 0.4848307955379688, 'impute_mode': 0.4921186623080568, 'impute_median': 0.503589879656122, 'impute_knn': 0.48936616900215457, 'impute_mice': 0.4941258216571995, 'impute_soft': 0.47811017603727557, 'impute_random': 0.4588712960257279, 'impute_linear_and_logistic': 0.4828930984951086}, {'no_impute': 0.5071259940899839, 'impute_standard': 0.501360396953929, 'impute_mean': 0.5088373977037233, 'impute_std': 0.5005929234703109, 'impute_mode': 0.5084802433888612, 'impute_median': 0.5094950108780935, 'impute_knn': 0.5200572620751673, 'impute_mice': 0.534560418926266, 'impute_soft': 0.4982796347966322, 'impute_random': 0.49693608180297943, 'impute_linear_and_logistic': 0.5161673844170528}, {'no_impute': 0.5530989007635447, 'impute_standard': 0.5363109351585909, 'impute_mean': 0.554401136588176, 'impute_std': 0.5347990450004133, 'impute_mode': 0.5527080549223343, 'impute_median': 0.5531171440314256, 'impute_knn': 0.5666177832022629, 'impute_mice': 0.5568983926262414, 'impute_soft': 0.5410798343287315, 'impute_random': 0.536023068190164, 'impute_linear_and_logistic': 0.5602152782289573}]
wine,lr,[{'no_impute': 0.5352978469849706, 'impute_standard': 0.4323396102644993, 'impute_mean': 0.5363513019567889, 'impute_std': 0.4515235509153724, 'impute_mode': 0.5188947686059986, 'impute_median': 0.5375781587843694, 'impute_knn': 0.5273295548442537, 'impute_mice': 0.5400040454729726, 'impute_soft': 0.469897296001164, 'impute_random': 0.49807524478915605, 'impute_linear_and_logistic': 0.5359101533415989}, {'no_impute': 0.5528830066501367, 'impute_standard': 0.4367977651395819, 'impute_mean': 0.5535493473937273, 'impute_std': 0.4600116319885857, 'impute_mode': 0.540233601296421, 'impute_median': 0.5519277644253578, 'impute_knn': 0.5509040448180567, 'impute_mice': 0.5588333649668833, 'impute_soft': 0.48395775824174386, 'impute_random': 0.5036237493061496, 'impute_linear_and_logistic': 0.5580074343371729}, {'no_impute': 0.5651263732690475, 'impute_standard': 0.45952138951583354, 'impute_mean': 0.5653914821645102, 'impute_std': 0.478768358772608, 'impute_mode': 0.5512326485709947, 'impute_median': 0.5617092825768448, 'impute_knn': 0.5694743340777029, 'impute_mice': 0.5716807510784898, 'impute_soft': 0.5124384463340308, 'impute_random': 0.5291139124267553, 'impute_linear_and_logistic': 0.568251786985378}, {'no_impute': 0.5743253997683068, 'impute_standard': 0.4768652725340535, 'impute_mean': 0.5744877461821478, 'impute_std': 0.49644784317660523, 'impute_mode': 0.5631690640217396, 'impute_median': 0.5722332527731517, 'impute_knn': 0.5869776380680257, 'impute_mice': 0.5844911932834103, 'impute_soft': 0.5362432841674895, 'impute_random': 0.5557067305439836, 'impute_linear_and_logistic': 0.5770314251119131}, {'no_impute': 0.5895424955411017, 'impute_standard': 0.5036225056248748, 'impute_mean': 0.5894626481470453, 'impute_std': 0.5125026164310421, 'impute_mode': 0.5811537901988435, 'impute_median': 0.5896779723059212, 'impute_knn': 0.5932263387004915, 'impute_mice': 0.5972148613905046, 'impute_soft': 0.5671413143149882, 'impute_random': 0.5827518962643946, 'impute_linear_and_logistic': 0.5976586885136809}]
wine,knn,[{'no_impute': 0.4783774060503928, 'impute_standard': 0.4105561091760189, 'impute_mean': 0.4781644710742579, 'impute_std': 0.4170622651886672, 'impute_mode': 0.4641595897151789, 'impute_median': 0.47491348922643273, 'impute_knn': 0.48399520750570213, 'impute_mice': 0.4821458293509875, 'impute_soft': 0.453369112287239, 'impute_random': 0.45315872101939275, 'impute_linear_and_logistic': 0.4777668478300126}, {'no_impute': 0.5079436231429595, 'impute_standard': 0.42327883497325824, 'impute_mean': 0.5068276349837982, 'impute_std': 0.4378972839495059, 'impute_mode': 0.48637230046792945, 'impute_median': 0.5124549623888791, 'impute_knn': 0.50163972468781, 'impute_mice': 0.5075699400015857, 'impute_soft': 0.4827599476242492, 'impute_random': 0.47392278121230774, 'impute_linear_and_logistic': 0.5175969556708672}, {'no_impute': 0.5222243174328534, 'impute_standard': 0.43576218039354014, 'impute_mean': 0.5232258296334111, 'impute_std': 0.45243230911133564, 'impute_mode': 0.5105387933057469, 'impute_median': 0.5249231845717857, 'impute_knn': 0.5239631217442702, 'impute_mice': 0.5347900392533445, 'impute_soft': 0.5070905633135434, 'impute_random': 0.50249330152206, 'impute_linear_and_logistic': 0.5307529607663036}, {'no_impute': 0.5372515801368294, 'impute_standard': 0.4469227946757873, 'impute_mean': 0.5375999167568846, 'impute_std': 0.4652446930292341, 'impute_mode': 0.5325390676553836, 'impute_median': 0.5365017685772914, 'impute_knn': 0.5450171366580836, 'impute_mice': 0.5514029369678739, 'impute_soft': 0.5193982102114195, 'impute_random': 0.5170908018680123, 'impute_linear_and_logistic': 0.5441116976553158}, {'no_impute': 0.5537640110784043, 'impute_standard': 0.4873329753054265, 'impute_mean': 0.5532019676785511, 'impute_std': 0.5006095557468642, 'impute_mode': 0.554396435934781, 'impute_median': 0.5556325171990222, 'impute_knn': 0.5595033494666383, 'impute_mice': 0.5665560606121203, 'impute_soft': 0.543822599980156, 'impute_random': 0.5402534859080346, 'impute_linear_and_logistic': 0.5666939947136345}]
